InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
536012,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,2023-09-25 21:16:34,3.42,12882.0
536012,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-09-25 21:16:34,2.46,12882.0
536013,21931,JUMBO STORAGE BAG SUKI,3,2023-08-25 05:57:10,2.0,12877.0
536013,85099F,JUMBO BAG STRAWBERRY,2,2023-08-25 05:57:10,1.97,12877.0
536013,71053,WHITE METAL LANTERN,2,2023-08-25 05:57:10,3.42,12877.0
536013,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2023-08-25 05:57:10,2.49,12877.0
536013,20727,LUNCH BAG BLACK SKULL.,2,2023-08-25 05:57:10,1.71,12877.0
536013,22630,DOORMAT KEEP CALM AND COME IN,4,2023-08-25 05:57:10,6.82,12877.0
536014,22632,HAND WARMER RED POLKA DOT,1,2023-01-16 07:09:14,1.89,12736.0
536014,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-01-16 07:09:14,2.61,12736.0
536014,22745,POPPY'S PLAYHOUSE BEDROOM,2,2023-01-16 07:09:14,2.16,12736.0
536014,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2023-01-16 07:09:14,1.62,12736.0
536014,20728,LUNCH BAG CARS BLUE,1,2023-01-16 07:09:14,1.72,12736.0
536015,22630,DOORMAT KEEP CALM AND COME IN,12,2023-10-28 14:03:04,6.86,
536015,22632,HAND WARMER RED POLKA DOT,2,2023-10-28 14:03:04,1.8,
536015,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,2023-10-28 14:03:04,2.45,
536015,84406B,CREAM CUPID HEARTS COAT HANGER,6,2023-10-28 14:03:04,2.87,
536015,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-10-28 14:03:04,2.51,
536015,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,2023-10-28 14:03:04,3.51,
536016,21931,JUMBO STORAGE BAG SUKI,3,2023-09-12 10:37:55,1.94,12878.0
536016,20728,LUNCH BAG CARS BLUE,6,2023-09-12 10:37:55,1.65,12878.0
536016,22630,DOORMAT KEEP CALM AND COME IN,1,2023-09-12 10:37:55,6.68,12878.0
536016,85099B,JUMBO BAG RED RETROSPOT,2,2023-09-12 10:37:55,2.0,12878.0
536017,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2023-09-02 16:40:13,3.31,12877.0
536017,47566,PARTY BUNTING,2,2023-09-02 16:40:13,4.67,12877.0
536017,22745,POPPY'S PLAYHOUSE BEDROOM,3,2023-09-02 16:40:13,2.12,12877.0
536017,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2023-09-02 16:40:13,4.13,12877.0
536017,22748,POPPY'S PLAYHOUSE KITCHEN,2,2023-09-02 16:40:13,2.18,12877.0
536018,22310,IVORY KNITTED MUG COSY,2,2023-04-18 03:13:34,1.64,12594.0
536018,85099F,JUMBO BAG STRAWBERRY,3,2023-04-18 03:13:34,1.92,12594.0
536019,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,2,2023-10-06 10:59:12,4.28,12877.0
536019,22745,POPPY'S PLAYHOUSE BEDROOM,1,2023-10-06 10:59:12,2.04,12877.0
536019,85099B,JUMBO BAG RED RETROSPOT,1,2023-10-06 10:59:12,2.0,12877.0
536019,20725,LUNCH BAG RED RETROSPOT,3,2023-10-06 10:59:12,1.72,12877.0
536020,85099F,JUMBO BAG STRAWBERRY,4,2023-06-19 13:11:46,1.96,12757.0
536020,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2023-06-19 13:11:46,1.7,12757.0
536021,20728,LUNCH BAG CARS BLUE,1,2023-10-10 00:29:01,1.7,12877.0
536021,22748,POPPY'S PLAYHOUSE KITCHEN,2,2023-10-10 00:29:01,2.18,12877.0
536021,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2023-10-10 00:29:01,0.0,12877.0
536021,22383,LUNCH BAG SUKI DESIGN,2,2023-10-10 00:29:01,1.66,12877.0
536021,22633,HAND WARMER UNION JACK,1,2023-10-10 00:29:01,1.9,12877.0
536022,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2023-06-04 22:46:52,1.97,12651.0
536022,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-06-04 22:46:52,2.5,12651.0
536022,22748,POPPY'S PLAYHOUSE KITCHEN,3,2023-06-04 22:46:52,2.01,12651.0
536022,71053,WHITE METAL LANTERN,2,2023-06-04 22:46:52,3.44,12651.0
536023,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2023-06-04 08:17:13,3.56,12610.0
536023,21931,JUMBO STORAGE BAG SUKI,1,2023-06-04 08:17:13,2.0,12610.0
536023,22745,POPPY'S PLAYHOUSE BEDROOM,4,2023-06-04 08:17:13,2.0,12610.0
536023,22310,IVORY KNITTED MUG COSY,2,2023-06-04 08:17:13,1.73,12610.0
536023,22383,LUNCH BAG SUKI DESIGN,12,2023-06-04 08:17:13,1.63,12610.0
536024,21931,JUMBO STORAGE BAG SUKI,3,2023-07-02 10:53:42,1.9,12854.0
536025,20726,LUNCH BAG WOODLAND,4,2023-07-01 20:15:55,1.66,12565.0
536026,20726,LUNCH BAG WOODLAND,4,2023-06-15 12:01:19,1.65,12831.0
536027,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-06-26 16:53:26,2.44,12485.0
536027,22748,POPPY'S PLAYHOUSE KITCHEN,4,2023-06-26 16:53:26,2.16,12485.0
536027,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2023-06-26 16:53:26,2.51,12485.0
536027,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2023-06-26 16:53:26,4.29,12485.0
536027,22745,POPPY'S PLAYHOUSE BEDROOM,24,2023-06-26 16:53:26,2.13,12485.0
536027,71053,WHITE METAL LANTERN,3,2023-06-26 16:53:26,3.26,12485.0
536028,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2023-05-15 04:26:03,4.04,12972.0
536028,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-05-15 04:26:03,2.52,12972.0
536029,84406B,CREAM CUPID HEARTS COAT HANGER,12,2023-08-28 16:52:21,2.81,12817.0
536029,22630,DOORMAT KEEP CALM AND COME IN,1,2023-08-28 16:52:21,7.05,12817.0
536030,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2023-08-26 04:01:49,3.34,12543.0
536031,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-09-03 15:26:14,2.45,12906.0
536031,22749,POPPY'S PLAYHOUSE LIVINGROOM,4,2023-09-03 15:26:14,2.06,12906.0
536031,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2023-09-03 15:26:14,3.4,12906.0
536031,47566,PARTY BUNTING,2,2023-09-03 15:26:14,4.7,12906.0
536032,22633,HAND WARMER UNION JACK,3,2023-02-28 19:29:34,1.77,13034.0
536032,20728,LUNCH BAG CARS BLUE,1,2023-02-28 19:29:34,1.7,13034.0
536032,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2023-02-28 19:29:34,1.69,13034.0
536032,22630,DOORMAT KEEP CALM AND COME IN,2,2023-02-28 19:29:34,6.75,13034.0
536033,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2023-06-22 06:59:50,1.75,12704.0
536033,22384,LUNCH BAG PINK POLKADOT,2,2023-06-22 06:59:50,1.69,12704.0
536033,20727,LUNCH BAG BLACK SKULL.,4,2023-06-22 06:59:50,1.61,12704.0
536033,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-06-22 06:59:50,4.31,12704.0
536034,20726,LUNCH BAG WOODLAND,2,2023-11-30 17:41:01,1.7,12346.0
536034,71053,WHITE METAL LANTERN,1,2023-11-30 17:41:01,3.42,12346.0
536034,22382,LUNCH BAG SPACEBOY DESIGN,6,2023-11-30 17:41:01,1.62,12346.0
536034,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2023-11-30 17:41:01,2.56,12346.0
536034,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2023-11-30 17:41:01,3.31,12346.0
536034,22384,LUNCH BAG PINK POLKADOT,2,2023-11-30 17:41:01,1.61,12346.0
536035,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-06-12 00:36:03,2.58,12821.0
536036,20725,LUNCH BAG RED RETROSPOT,4,2023-09-21 14:09:35,1.7,
536036,22748,POPPY'S PLAYHOUSE KITCHEN,6,2023-09-21 14:09:35,2.0,
536036,22632,HAND WARMER RED POLKA DOT,1,2023-09-21 14:09:35,1.93,
536036,22382,LUNCH BAG SPACEBOY DESIGN,2,2023-09-21 14:09:35,1.71,
536037,22752,SET 7 BABUSHKA NESTING BOXES,3,2023-01-20 08:09:13,7.95,12607.0
536038,85099F,JUMBO BAG STRAWBERRY,6,2023-04-27 14:06:37,1.94,12824.0
536038,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2023-04-27 14:06:37,1.71,12824.0
536038,20728,LUNCH BAG CARS BLUE,3,2023-04-27 14:06:37,1.6,12824.0
536039,22384,LUNCH BAG PINK POLKADOT,6,2023-09-05 22:30:47,1.63,12500.0
536039,22749,POPPY'S PLAYHOUSE LIVINGROOM,1,2023-09-05 22:30:47,2.02,12500.0
536039,47566,PARTY BUNTING,2,2023-09-05 22:30:47,4.64,12500.0
536039,22310,IVORY KNITTED MUG COSY,24,2023-09-05 22:30:47,1.58,12500.0
536040,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-07-19 07:42:19,2.54,12502.0
536040,22632,HAND WARMER RED POLKA DOT,1,2023-07-19 07:42:19,1.89,12502.0
536040,22752,SET 7 BABUSHKA NESTING BOXES,1,2023-07-19 07:42:19,7.73,12502.0
536040,22384,LUNCH BAG PINK POLKADOT,2,2023-07-19 07:42:19,1.69,12502.0
536040,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2023-07-19 07:42:19,3.38,12502.0
536041,22382,LUNCH BAG SPACEBOY DESIGN,1,2023-09-04 08:41:28,1.64,
536041,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2023-09-04 08:41:28,1.61,
536041,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2023-09-04 08:41:28,2.6,
536041,85099B,JUMBO BAG RED RETROSPOT,1,2023-09-04 08:41:28,2.01,
536041,20726,LUNCH BAG WOODLAND,1,2023-09-04 08:41:28,1.57,
536041,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,2023-09-04 08:41:28,3.32,
536042,22382,LUNCH BAG SPACEBOY DESIGN,3,2023-08-12 03:59:46,1.6,
536042,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2023-08-12 03:59:46,1.63,
536042,47566,PARTY BUNTING,1,2023-08-12 03:59:46,4.81,
536042,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2023-08-12 03:59:46,3.29,
536042,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2023-08-12 03:59:46,4.34,
536043,84029E,RED WOOLLY HOTTIE WHITE HEART.,724,2023-05-11 18:57:47,3.25,12799.0
536043,20726,LUNCH BAG WOODLAND,4,2023-05-11 18:57:47,1.66,12799.0
536043,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2023-05-11 18:57:47,2.66,12799.0
536043,84406B,CREAM CUPID HEARTS COAT HANGER,2,2023-05-11 18:57:47,2.8,12799.0
536043,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2023-05-11 18:57:47,1.76,12799.0
536043,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2023-05-11 18:57:47,4.15,12799.0
536044,22745,POPPY'S PLAYHOUSE BEDROOM,3,2023-08-29 11:47:50,2.16,12543.0
536044,47566,PARTY BUNTING,1,2023-08-29 11:47:50,4.85,12543.0
536044,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-08-29 11:47:50,2.44,12543.0
536044,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-08-29 11:47:50,7.33,12543.0
536045,21931,JUMBO STORAGE BAG SUKI,1,2023-05-06 21:03:39,2.02,
536045,85099F,JUMBO BAG STRAWBERRY,1,2023-05-06 21:03:39,1.92,
536046,22748,POPPY'S PLAYHOUSE KITCHEN,1,2023-06-19 19:09:41,2.12,12791.0
536046,22382,LUNCH BAG SPACEBOY DESIGN,1,2023-06-19 19:09:41,1.67,12791.0
536046,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2023-06-19 19:09:41,1.64,12791.0
536046,71053,WHITE METAL LANTERN,3,2023-06-19 19:09:41,3.51,12791.0
536047,22749,POPPY'S PLAYHOUSE LIVINGROOM,1,2023-04-10 07:44:57,2.09,12619.0
536048,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2023-09-22 07:50:34,1.74,12398.0
536048,22310,IVORY KNITTED MUG COSY,4,2023-09-22 07:50:34,1.67,12398.0
536048,85099F,JUMBO BAG STRAWBERRY,4,2023-09-22 07:50:34,1.96,12398.0
536049,22633,HAND WARMER UNION JACK,2,2023-09-10 08:21:34,1.91,12396.0
536049,22310,IVORY KNITTED MUG COSY,6,2023-09-10 08:21:34,1.57,12396.0
536049,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,4,2023-09-10 08:21:34,2.04,12396.0
536050,22745,POPPY'S PLAYHOUSE BEDROOM,2,2023-02-10 17:09:26,2.17,12877.0
536050,20728,LUNCH BAG CARS BLUE,3,2023-02-10 17:09:26,1.63,12877.0
536050,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2023-02-10 17:09:26,2.43,12877.0
536050,47566,PARTY BUNTING,12,2023-02-10 17:09:26,4.67,12877.0
536051,22383,LUNCH BAG SUKI DESIGN,1,2023-04-05 00:59:51,1.64,12877.0
536051,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-04-05 00:59:51,2.55,12877.0
536051,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2023-04-05 00:59:51,2.51,12877.0
536051,20728,LUNCH BAG CARS BLUE,3,2023-04-05 00:59:51,1.66,12877.0
536051,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,3,2023-04-05 00:59:51,2.04,12877.0
536052,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-07-26 03:03:43,4.38,12516.0
536053,22632,HAND WARMER RED POLKA DOT,2,2023-06-05 03:03:59,1.82,13109.0
536053,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-06-05 03:03:59,7.87,13109.0
536053,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,2,2023-06-05 03:03:59,4.18,13109.0
536053,22384,LUNCH BAG PINK POLKADOT,2,2023-06-05 03:03:59,1.67,13109.0
536053,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-06-05 03:03:59,2.53,13109.0
536053,22386,JUMBO BAG PINK POLKADOT,1,2023-06-05 03:03:59,1.91,13109.0
536054,85099B,JUMBO BAG RED RETROSPOT,2,2023-08-11 06:25:48,1.96,13128.0
536054,20726,LUNCH BAG WOODLAND,3,2023-08-11 06:25:48,1.66,13128.0
536054,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-08-11 06:25:48,2.56,13128.0
536054,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2023-08-11 06:25:48,4.09,13128.0
536054,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2023-08-11 06:25:48,3.54,13128.0
536055,85099F,JUMBO BAG STRAWBERRY,4,2023-06-16 17:14:38,1.94,
536055,20728,LUNCH BAG CARS BLUE,1,2023-06-16 17:14:38,1.68,
536055,20726,LUNCH BAG WOODLAND,1,2023-06-16 17:14:38,1.7,
536055,20727,LUNCH BAG BLACK SKULL.,6,2023-06-16 17:14:38,1.63,
536055,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2023-06-16 17:14:38,3.34,
536056,22630,DOORMAT KEEP CALM AND COME IN,2,2023-07-18 04:27:38,6.84,12586.0
536056,20726,LUNCH BAG WOODLAND,2,2023-07-18 04:27:38,1.59,12586.0
536056,71053,WHITE METAL LANTERN,2,2023-07-18 04:27:38,3.49,12586.0
536057,22382,LUNCH BAG SPACEBOY DESIGN,1,2023-01-29 16:32:34,1.58,12572.0
536058,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2023-10-21 23:23:36,4.04,12955.0
536058,22310,IVORY KNITTED MUG COSY,3,2023-10-21 23:23:36,1.59,12955.0
536059,20726,LUNCH BAG WOODLAND,2,2023-06-22 07:14:13,1.67,
536060,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2023-07-20 21:11:29,3.36,
536061,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-11-27 16:56:38,2.6,12357.0
536061,22310,IVORY KNITTED MUG COSY,1,2023-11-27 16:56:38,1.65,12357.0
536061,20725,LUNCH BAG RED RETROSPOT,4,2023-11-27 16:56:38,1.66,12357.0
536061,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,2023-11-27 16:56:38,3.49,12357.0
536061,22386,JUMBO BAG PINK POLKADOT,4,2023-11-27 16:56:38,1.88,12357.0
536061,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2023-11-27 16:56:38,4.11,12357.0
536062,22630,DOORMAT KEEP CALM AND COME IN,1,2023-08-18 05:02:34,6.59,13026.0
536062,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2023-08-18 05:02:34,4.15,13026.0
536062,85099F,JUMBO BAG STRAWBERRY,3,2023-08-18 05:02:34,1.97,13026.0
536062,22752,SET 7 BABUSHKA NESTING BOXES,3,2023-08-18 05:02:34,7.86,13026.0
C536063,22748,POPPY'S PLAYHOUSE KITCHEN,-3,2023-10-08 16:52:20,2.1,12549.0
C536063,84879,ASSORTED COLOUR BIRD ORNAMENT,-5,2023-10-08 16:52:20,1.69,12549.0
C536063,22630,DOORMAT KEEP CALM AND COME IN,-2,2023-10-08 16:52:20,6.75,12549.0
C536063,22745,POPPY'S PLAYHOUSE BEDROOM,-3,2023-10-08 16:52:20,2.1,12549.0
C536063,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-5,2023-10-08 16:52:20,3.39,12549.0
C536063,85099B,JUMBO BAG RED RETROSPOT,-3,2023-10-08 16:52:20,1.95,12549.0
536064,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-06-23 07:28:15,4.43,12393.0
536064,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-06-23 07:28:15,2.48,12393.0
536064,22748,POPPY'S PLAYHOUSE KITCHEN,24,2023-06-23 07:28:15,2.16,12393.0
536065,22310,IVORY KNITTED MUG COSY,3,2023-10-03 21:22:35,1.67,12877.0
536065,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2023-10-03 21:22:35,2.02,12877.0
536065,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-10-03 21:22:35,2.45,12877.0
536066,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-07-01 03:15:30,7.59,12877.0
536066,22382,LUNCH BAG SPACEBOY DESIGN,2,2023-07-01 03:15:30,1.72,12877.0
536066,71053,WHITE METAL LANTERN,2,2023-07-01 03:15:30,3.55,12877.0
536066,22748,POPPY'S PLAYHOUSE KITCHEN,1,2023-07-01 03:15:30,2.03,12877.0
536066,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-07-01 03:15:30,2.43,12877.0
536067,20728,LUNCH BAG CARS BLUE,3,2023-05-14 20:55:53,1.57,12736.0
536067,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-05-14 20:55:53,3.54,12736.0
536067,22749,POPPY'S PLAYHOUSE LIVINGROOM,2,2023-05-14 20:55:53,2.13,12736.0
536067,20727,LUNCH BAG BLACK SKULL.,3,2023-05-14 20:55:53,1.59,12736.0
536067,21931,JUMBO STORAGE BAG SUKI,1,2023-05-14 20:55:53,1.93,12736.0
536067,20726,LUNCH BAG WOODLAND,6,2023-05-14 20:55:53,1.7,12736.0
536068,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2023-09-20 03:32:58,4.04,12877.0
536068,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4,2023-09-20 03:32:58,4.36,12877.0
536068,22386,JUMBO BAG PINK POLKADOT,2,2023-09-20 03:32:58,1.87,12877.0
536068,22745,POPPY'S PLAYHOUSE BEDROOM,6,2023-09-20 03:32:58,2.06,12877.0
536068,22630,DOORMAT KEEP CALM AND COME IN,1,2023-09-20 03:32:58,6.73,12877.0
536069,22745,POPPY'S PLAYHOUSE BEDROOM,1,2023-10-29 18:06:23,2.07,12878.0
536069,22749,POPPY'S PLAYHOUSE LIVINGROOM,2,2023-10-29 18:06:23,2.02,12878.0
536069,22384,LUNCH BAG PINK POLKADOT,1,2023-10-29 18:06:23,1.66,12878.0
536069,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2023-10-29 18:06:23,3.23,12878.0
536069,47566,PARTY BUNTING,2,2023-10-29 18:06:23,4.53,12878.0
536070,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12,2023-09-14 07:14:21,1.93,12380.0
536070,20726,LUNCH BAG WOODLAND,1,2023-09-14 07:14:21,1.59,12380.0
536070,22633,HAND WARMER UNION JACK,1,2023-09-14 07:14:21,1.84,12380.0
536071,22749,POPPY'S PLAYHOUSE LIVINGROOM,3,2023-05-29 14:04:59,2.06,12602.0
536071,22633,HAND WARMER UNION JACK,1,2023-05-29 14:04:59,1.84,12602.0
536071,20725,LUNCH BAG RED RETROSPOT,1,2023-05-29 14:04:59,1.72,12602.0
536072,85099B,JUMBO BAG RED RETROSPOT,4,2023-05-22 10:38:34,1.88,12877.0
536073,71053,WHITE METAL LANTERN,1,2023-09-15 10:03:26,3.45,
536073,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-09-15 10:03:26,3.54,
536074,22310,IVORY KNITTED MUG COSY,2,2023-07-04 05:00:04,1.59,12604.0
536074,22632,HAND WARMER RED POLKA DOT,1,2023-07-04 05:00:04,1.79,12604.0
536074,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-07-04 05:00:04,7.65,12604.0
536074,85099B,JUMBO BAG RED RETROSPOT,12,2023-07-04 05:00:04,2.03,12604.0
536075,22386,JUMBO BAG PINK POLKADOT,1,2023-07-19 12:24:41,1.89,13053.0
536075,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2023-07-19 12:24:41,2.46,13053.0
536075,20727,LUNCH BAG BLACK SKULL.,3,2023-07-19 12:24:41,1.7,13053.0
536075,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2023-07-19 12:24:41,1.94,13053.0
536075,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-07-19 12:24:41,2.65,13053.0
536076,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2023-11-07 01:33:06,3.49,12821.0
536076,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2023-11-07 01:33:06,3.36,12821.0
536076,47566,PARTY BUNTING,2,2023-11-07 01:33:06,4.75,12821.0
536076,22633,HAND WARMER UNION JACK,6,2023-11-07 01:33:06,1.86,12821.0
